Degrees/certificates total,Mechanic and Repair Technologies/Technicians,76991,73004,3987,2014
Degrees/certificates total,Precision Production,33367,31529,1838,2014
Degrees/certificates total,Transportation and Materials Moving,26788,23854,2934,2014
Degrees/certificates total,Visual and Performing Arts,152471,61428,91043,2014
Degrees/certificates total,Health Professions and Related Programs,824102,155101,669001,2014
Degrees/certificates total,"Business, Management, Marketing, and Related Support Services",737953,357894,380059,2014
Degrees/certificates total,History,37381,22308,15073,2014
Degrees/certificates total,"Agriculture, Agriculture Operations and Related Sciences",33494,17340,16154,2015
Degrees/certificates total,Natural Resources and Conservation,24480,12747,11733,2015
Degrees/certificates total,Architecture and Related Services,18340,10036,8304,2015
Degrees/certificates total,"Area, Ethnic, Cultural, Gender, and Group Studies",11381,3480,7901,2015
Degrees/certificates total,"Communication, Journalism, and Related Programs",109384,38569,70815,2015
Degrees/certificates total,Communications Technologies/Technicians and Support Services,13937,9082,4855,2015
Degrees/certificates total,Computer and Information Sciences and Support Services,161625,123981,37644,2015
Degrees/certificates total,Personal and Culinary Services,48484,14626,33858,2015
Degrees/certificates total,Education,297979,64396,233583,2015
Degrees/certificates total,Engineering,161428,126800,34628,2015
Degrees/certificates total,Engineering Technologies and Engineering-related Fields,81888,70592,11296,2015
Degrees/certificates total,"Foreign Languages, Literatures, and Linguistics",28521,8754,19767,2015
Degrees/certificates total,Family and Consumer Sciences/Human Sciences,55546,5363,50183,2015
Degrees/certificates total,Legal Professions and Studies,67765,28674,39091,2015
Degrees/certificates total,English Language and Literature/Letters,60274,19037,41237,2015
Degrees/certificates total,"Liberal Arts and Sciences, General Studies and Humanities",459710,176344,283366,2015
Degrees/certificates total,Library Science,6113,1166,4947,2015
Degrees/certificates total,Biological and Biomedical Sciences,138930,57251,81679,2015
Degrees/certificates total,Mathematics and Statistics,34412,20489,13923,2015
Degrees/certificates total,Military Technologies and Applied Sciences,1672,1355,317,2015
Degrees/certificates total,Multi/Interdisciplinary Studies,90273,33316,56957,2015
Degrees/certificates total,"Parks, Recreation, Leisure and Fitness Studies",63402,34292,29110,2015
Degrees/certificates total,Philosophy and Religious Studies,14664,9191,5473,2015
Degrees/certificates total,Theology and Religious Vocations,29108,19244,9864,2015
Degrees/certificates total,Physical Sciences,47815,29589,18226,2015
Degrees/certificates total,Science Technologies/Technicians,5225,3069,2156,2015
Degrees/certificates total,Psychology,161910,36408,125502,2015
Degrees/certificates total,"Homeland Security, Law Enforcement, Firefighting, and Related Protective Service",149771,86609,63162,2015
Degrees/certificates total,Public Administration and Social Service Professions,93539,19844,73695,2015
Degrees/certificates total,Social Sciences,179294,86509,92785,2015
Degrees/certificates total,Construction Trades,22821,21607,1214,2015
Degrees/certificates total,Mechanic and Repair Technologies/Technicians,77520,73373,4147,2015
Degrees/certificates total,Precision Production,38990,36630,2360,2015
Degrees/certificates total,Transportation and Materials Moving,25099,22504,2595,2015
Degrees/certificates total,Visual and Performing Arts,152083,61340,90743,2015
Degrees/certificates total,Health Professions and Related Programs,832675,156249,676426,2015
Degrees/certificates total,"Business, Management, Marketing, and Related Support Services",748867,363470,385397,2015
Degrees/certificates total,History,34200,20255,13945,2015
Degrees/certificates total,"Agriculture, Agriculture Operations and Related Sciences",34584,17576,17008,2016
Degrees/certificates total,Natural Resources and Conservation,24959,12802,12157,2016
Degrees/certificates total,Architecture and Related Services,18071,9787,8284,2016
Degrees/certificates total,"Area, Ethnic, Cultural, Gender, and Group Studies",11473,3418,8055,2016
Degrees/certificates total,"Communication, Journalism, and Related Programs",112696,39704,72992,2016
Degrees/certificates total,Communications Technologies/Technicians and Support Services,13574,8749,4825,2016
Degrees/certificates total,Computer and Information Sciences and Support Services,171299,130493,40806,2016
Degrees/certificates total,Personal and Culinary Services,46864,14465,32399,2016
Degrees/certificates total,Education,293470,63272,230198,2016
Degrees/certificates total,Engineering,176494,137554,38940,2016
Degrees/certificates total,Engineering Technologies and Engineering-related Fields,81183,69457,11726,2016
Degrees/certificates total,"Foreign Languages, Literatures, and Linguistics",27574,8440,19134,2016
Degrees/certificates total,Family and Consumer Sciences/Human Sciences,56419,5276,51143,2016
Degrees/certificates total,Legal Professions and Studies,63191,26686,36505,2016
Degrees/certificates total,English Language and Literature/Letters,57489,17806,39683,2016
Degrees/certificates total,"Liberal Arts and Sciences, General Studies and Humanities",485170,185870,299300,2016
Degrees/certificates total,Library Science,5696,1040,4656,2016
Degrees/certificates total,Biological and Biomedical Sciences,144540,58470,86070,2016
Degrees/certificates total,Mathematics and Statistics,36616,21824,14792,2016
Degrees/certificates total,Military Technologies and Applied Sciences,1636,1324,312,2016
Degrees/certificates total,Multi/Interdisciplinary Studies,93461,34421,59040,2016
Degrees/certificates total,"Parks, Recreation, Leisure and Fitness Studies",66067,35330,30737,2016
Degrees/certificates total,Philosophy and Religious Studies,13680,8448,5232,2016
Degrees/certificates total,Theology and Religious Vocations,28958,19097,9861,2016
Degrees/certificates total,Physical Sciences,49016,30391,18625,2016
Degrees/certificates total,Science Technologies/Technicians,5923,3491,2432,2016
Degrees/certificates total,Psychology,164467,36457,128010,2016
Degrees/certificates total,"Homeland Security, Law Enforcement, Firefighting, and Related Protective Service",146040,84491,61549,2016
Degrees/certificates total,Public Administration and Social Service Professions,94352,19733,74619,2016
Degrees/certificates total,Social Sciences,177387,84329,93058,2016
Degrees/certificates total,Construction Trades,23978,22723,1255,2016
Degrees/certificates total,Mechanic and Repair Technologies/Technicians,78243,73873,4370,2016
Degrees/certificates total,Precision Production,41588,38862,2726,2016
Degrees/certificates total,Transportation and Materials Moving,22105,19683,2422,2016
Degrees/certificates total,Visual and Performing Arts,143265,57659,85606,2016
Degrees/certificates total,Health Professions and Related Programs,838038,158421,679617,2016
Degrees/certificates total,"Business, Management, Marketing, and Related Support Services",757211,370725,386486,2016
Degrees/certificates total,History,31794,18762,13032,2016
Degrees/certificates total,"Agriculture, Agriculture Operations and Related Sciences",35842,18092,17750,2017
Degrees/certificates total,Natural Resources and Conservation,25814,13214,12600,2017
Degrees/certificates total,Architecture and Related Services,17679,9295,8384,2017
Degrees/certificates total,"Area, Ethnic, Cultural, Gender, and Group Studies",11342,3261,8081,2017
Degrees/certificates total,"Communication, Journalism, and Related Programs",115292,40292,75000,2017
Degrees/certificates total,Communications Technologies/Technicians and Support Services,13444,8434,5010,2017
Degrees/certificates total,Computer and Information Sciences and Support Services,188082,143063,45019,2017
Degrees/certificates total,Personal and Culinary Services,40799,11950,28849,2017
Degrees/certificates total,Education,293886,61658,232228,2017
Degrees/certificates total,Engineering,187224,145375,41849,2017
Degrees/certificates total,Engineering Technologies and Engineering-related Fields,82703,70523,12180,2017
Degrees/certificates total,"Foreign Languages, Literatures, and Linguistics",26848,8334,18514,2017
Degrees/certificates total,Family and Consumer Sciences/Human Sciences,56023,5238,50785,2017
Degrees/certificates total,Legal Professions and Studies,60300,25256,35044,2017
Degrees/certificates total,English Language and Literature/Letters,55351,16985,38366,2017
Degrees/certificates total,"Liberal Arts and Sciences, General Studies and Humanities",501549,191289,310260,2017
Degrees/certificates total,Library Science,5642,963,4679,2017
Degrees/certificates total,Biological and Biomedical Sciences,148292,58520,89772,2017
Degrees/certificates total,Mathematics and Statistics,39045,23236,15809,2017
Degrees/certificates total,Military Technologies and Applied Sciences,1989,1603,386,2017
Degrees/certificates total,Multi/Interdisciplinary Studies,95482,35446,60036,2017
Degrees/certificates total,"Parks, Recreation, Leisure and Fitness Studies",69017,36291,32726,2017
Degrees/certificates total,Philosophy and Religious Studies,13391,8307,5084,2017
Degrees/certificates total,Theology and Religious Vocations,28499,18881,9618,2017
Degrees/certificates total,Physical Sciences,50021,30592,19429,2017
Degrees/certificates total,Science Technologies/Technicians,6731,3864,2867,2017
Degrees/certificates total,Psychology,164967,35860,129107,2017
Degrees/certificates total,"Homeland Security, Law Enforcement, Firefighting, and Related Protective Service",143282,83312,59970,2017
Degrees/certificates total,Public Administration and Social Service Professions,94155,19526,74629,2017
Degrees/certificates total,Social Sciences,178114,83836,94278,2017
Degrees/certificates total,Construction Trades,25467,24123,1344,2017
Degrees/certificates total,Mechanic and Repair Technologies/Technicians,79596,74905,4691,2017
Degrees/certificates total,Precision Production,43608,40567,3041,2017
Degrees/certificates total,Transportation and Materials Moving,20280,18103,2177,2017
Degrees/certificates total,Visual and Performing Arts,142877,57152,85725,2017
Degrees/certificates total,Health Professions and Related Programs,846738,161004,685734,2017
Degrees/certificates total,"Business, Management, Marketing, and Related Support Services",767246,376847,390399,2017
Degrees/certificates total,History,30318,17898,12420,2017
Degrees/certificates total,"Agriculture, Agriculture Operations and Related Sciences",36133,18066,18067,2018
Degrees/certificates total,Natural Resources and Conservation,27221,13345,13876,2018
Degrees/certificates total,Architecture and Related Services,17074,8767,8307,2018
Degrees/certificates total,"Area, Ethnic, Cultural, Gender, and Group Studies",11742,3359,8383,2018
Degrees/certificates total,"Communication, Journalism, and Related Programs",115135,39904,75231,2018
Degrees/certificates total,Communications Technologies/Technicians and Support Services,13176,8195,4981,2018
Degrees/certificates total,Computer and Information Sciences and Support Services,199329,151801,47528,2018
Degrees/certificates total,Education,294842,61065,233777,2018
Degrees/certificates total,Engineering,193765,149098,44667,2018
Degrees/certificates total,Engineering Technologies and Engineering-related Fields,85613,72557,13056,2018
Degrees/certificates total,"Foreign Languages, Literatures, and Linguistics",26987,8143,18844,2018
Degrees/certificates total,Family and Consumer Sciences/Human Sciences,58275,5217,53058,2018
Degrees/certificates total,Legal Professions and Studies,59873,25182,34691,2018
Degrees/certificates total,English Language and Literature/Letters,54138,16315,37823,2018
Degrees/certificates total,"Liberal Arts and Sciences, General Studies and Humanities",514743,195563,319180,2018
Degrees/certificates total,Library Science,5855,996,4859,2018
Degrees/certificates total,Biological and Biomedical Sciences,152323,58513,93810,2018
Degrees/certificates total,Mathematics and Statistics,42582,25308,17274,2018
Degrees/certificates total,Military Technologies and Applied Sciences,2461,1917,544,2018
Degrees/certificates total,Multi/Interdisciplinary Studies,100009,36995,63014,2018
Degrees/certificates total,"Parks, Recreation, Leisure and Fitness Studies",70180,36444,33736,2018
Degrees/certificates total,Philosophy and Religious Studies,13348,8336,5012,2018
Degrees/certificates total,Theology and Religious Vocations,28800,19036,9764,2018
Degrees/certificates total,Physical Sciences,51512,31393,20119,2018
Degrees/certificates total,Science Technologies/Technicians,6433,3693,2740,2018
Degrees/certificates total,Psychology,166065,35136,130929,2018
